filename,count,bit
out-000.1,31,0
out-000.1,25165753,1
out-000.2,31,0
out-000.2,25165753,1
out-000.3,31,0
out-000.3,25165753,1
out-000.4,31,0
out-000.4,25165753,1
out-000.6,31,0
out-000.6,25165753,1
out-000.5,31,0
out-000.5,25165753,1
out-000.7,31,0
out-000.7,25165753,1
out-000.8,31,0
out-000.8,25165753,1
out-000.9,31,0
out-000.9,25165753,1
out-001.0,31,0
out-001.0,25165753,1
out-001.1,31,0
out-001.1,25165753,1
out-001.2,31,0
out-001.2,25165753,1
out-001.3,31,0
out-001.3,25165753,1
out-001.4,31,0
out-001.4,25165753,1
out-001.5,31,0
out-001.5,25165753,1
out-001.7,31,0
out-001.7,25165753,1
out-001.6,31,0
out-001.6,25165753,1
out-001.8,31,0
out-001.8,25165753,1
out-001.9,31,0
out-001.9,25165753,1
out-002.0,31,0
out-002.0,25165753,1
out-002.1,31,0
out-002.1,25165753,1
out-002.2,31,0
out-002.2,25165753,1
out-002.3,31,0
out-002.3,25165753,1
out-002.4,31,0
out-002.4,25165753,1
out-002.5,31,0
out-002.5,25165753,1
out-002.6,31,0
out-002.6,25165753,1
out-002.7,31,0
out-002.7,25165753,1
out-002.8,31,0
out-002.8,25165753,1
out-002.9,30,0
out-002.9,25165754,1
out-003.0,30,0
out-003.0,25165754,1
out-003.1,30,0
out-003.1,25165754,1
out-003.2,30,0
out-003.2,25165754,1
out-003.3,30,0
out-003.3,25165754,1
out-003.4,30,0
out-003.4,25165754,1
out-003.5,30,0
out-003.5,25165754,1
out-003.6,30,0
out-003.6,25165754,1
out-003.7,30,0
out-003.7,25165754,1
out-003.8,30,0
out-003.8,25165754,1
out-003.9,30,0
out-003.9,25165754,1
out-004.0,30,0
out-004.0,25165754,1
out-004.1,30,0
out-004.1,25165754,1
out-004.2,30,0
out-004.2,25165754,1
out-004.3,30,0
out-004.3,25165754,1
out-004.4,30,0
out-004.4,25165754,1
out-004.5,30,0
out-004.5,25165754,1
out-004.6,30,0
out-004.6,25165754,1
out-004.7,30,0
out-004.7,25165754,1
out-004.8,30,0
out-004.8,25165754,1
out-004.9,30,0
out-004.9,25165754,1
out-005.0,30,0
out-005.0,25165754,1
out-005.1,30,0
out-005.1,25165754,1
out-005.2,30,0
out-005.2,25165754,1
out-005.3,30,0
out-005.3,25165754,1
out-005.4,30,0
out-005.4,25165754,1
out-005.5,30,0
out-005.5,25165754,1
out-005.6,37,0
out-005.6,25165747,1
out-005.7,37,0
out-005.7,25165747,1
out-005.8,37,0
out-005.8,25165747,1
out-005.9,37,0
out-005.9,25165747,1
out-006.0,37,0
out-006.0,25165747,1
out-006.1,37,0
out-006.1,25165747,1
out-006.2,29,0
out-006.2,25165755,1
out-006.3,29,0
out-006.3,25165755,1
out-006.4,29,0
out-006.4,25165755,1
out-006.5,29,0
out-006.5,25165755,1
out-006.6,29,0
out-006.6,25165755,1
out-006.7,29,0
out-006.7,25165755,1
out-006.8,29,0
out-006.8,25165755,1
out-006.9,29,0
out-006.9,25165755,1
out-007.0,29,0
out-007.0,25165755,1
out-007.1,29,0
out-007.1,25165755,1
out-007.2,29,0
out-007.2,25165755,1
out-007.3,29,0
out-007.3,25165755,1
out-007.4,29,0
out-007.4,25165755,1
out-007.5,29,0
out-007.5,25165755,1
out-007.6,29,0
out-007.6,25165755,1
out-007.7,29,0
out-007.7,25165755,1
out-007.8,29,0
out-007.8,25165755,1
out-007.9,29,0
out-007.9,25165755,1
out-008.0,29,0
out-008.0,25165755,1
out-008.1,29,0
out-008.1,25165755,1
out-008.2,29,0
out-008.2,25165755,1
out-008.4,29,0
out-008.4,25165755,1
out-008.3,29,0
out-008.3,25165755,1
out-008.5,29,0
out-008.5,25165755,1
out-008.6,32,0
out-008.6,25165752,1
out-008.7,32,0
out-008.7,25165752,1
out-008.8,32,0
out-008.8,25165752,1
out-008.9,32,0
out-008.9,25165752,1
out-009.1,32,0
out-009.1,25165752,1
out-009.0,32,0
out-009.0,25165752,1
out-009.2,32,0
out-009.2,25165752,1
out-009.3,32,0
out-009.3,25165752,1
out-009.4,32,0
out-009.4,25165752,1
out-009.5,32,0
out-009.5,25165752,1
out-009.6,32,0
out-009.6,25165752,1
out-009.7,32,0
out-009.7,25165752,1
out-009.8,32,0
out-009.8,25165752,1
out-009.9,32,0
out-009.9,25165752,1
out-010.0,32,0
out-010.0,25165752,1
out-010.1,32,0
out-010.1,25165752,1
out-010.2,32,0
out-010.2,25165752,1
out-010.3,36,0
out-010.3,25165748,1
out-010.4,32,0
out-010.4,25165752,1
out-010.5,32,0
out-010.5,25165752,1
out-010.6,32,0
out-010.6,25165752,1
out-010.7,32,0
out-010.7,25165752,1
out-010.8,32,0
out-010.8,25165752,1
out-010.9,32,0
out-010.9,25165752,1
out-011.0,32,0
out-011.0,25165752,1
out-011.1,31,0
out-011.1,25165753,1
out-011.2,31,0
out-011.2,25165753,1
out-011.3,31,0
out-011.3,25165753,1
out-011.4,31,0
out-011.4,25165753,1
out-011.5,31,0
out-011.5,25165753,1
out-011.6,31,0
out-011.6,25165753,1
out-011.7,31,0
out-011.7,25165753,1
out-011.8,31,0
out-011.8,25165753,1
out-011.9,31,0
out-011.9,25165753,1
out-012.0,31,0
out-012.0,25165753,1
out-012.1,31,0
out-012.1,25165753,1
out-012.2,31,0
out-012.2,25165753,1
out-012.3,31,0
out-012.3,25165753,1
out-012.4,31,0
out-012.4,25165753,1
out-012.5,31,0
out-012.5,25165753,1
out-012.6,31,0
out-012.6,25165753,1
out-012.7,31,0
out-012.7,25165753,1
out-012.8,31,0
out-012.8,25165753,1
out-012.9,31,0
out-012.9,25165753,1
out-013.0,31,0
out-013.0,25165753,1
out-013.1,31,0
out-013.1,25165753,1
out-013.2,35,0
out-013.2,25165749,1
out-013.3,35,0
out-013.3,25165749,1
out-013.4,35,0
out-013.4,25165749,1
out-013.5,35,0
out-013.5,25165749,1
out-013.6,35,0
out-013.6,25165749,1
out-013.7,35,0
out-013.7,25165749,1
out-013.8,35,0
out-013.8,25165749,1
out-013.9,35,0
out-013.9,25165749,1
out-014.0,35,0
out-014.0,25165749,1
out-014.1,35,0
out-014.1,25165749,1
out-014.2,35,0
out-014.2,25165749,1
out-014.3,35,0
out-014.3,25165749,1
out-014.4,35,0
out-014.4,25165749,1
out-014.5,35,0
out-014.5,25165749,1
out-014.6,35,0
out-014.6,25165749,1
out-014.7,35,0
out-014.7,25165749,1
out-014.8,35,0
out-014.8,25165749,1
out-014.9,35,0
out-014.9,25165749,1
out-015.0,35,0
out-015.0,25165749,1
out-015.1,36,0
out-015.1,25165748,1
out-015.2,36,0
out-015.2,25165748,1
out-015.3,36,0
out-015.3,25165748,1
out-015.4,36,0
out-015.4,25165748,1
out-015.5,38,0
out-015.5,25165746,1
out-015.6,38,0
out-015.6,25165746,1
out-015.7,38,0
out-015.7,25165746,1
out-015.8,38,0
out-015.8,25165746,1
out-015.9,38,0
out-015.9,25165746,1
out-016.0,38,0
out-016.0,25165746,1
out-016.1,38,0
out-016.1,25165746,1
out-016.2,38,0
out-016.2,25165746,1
out-016.3,38,0
out-016.3,25165746,1
out-016.4,39,0
out-016.4,25165745,1
out-016.5,39,0
out-016.5,25165745,1
out-016.6,38,0
out-016.6,25165746,1
out-016.7,38,0
out-016.7,25165746,1
out-016.8,38,0
out-016.8,25165746,1
out-016.9,38,0
out-016.9,25165746,1
out-017.0,38,0
out-017.0,25165746,1
out-017.1,38,0
out-017.1,25165746,1
out-017.2,38,0
out-017.2,25165746,1
out-017.3,38,0
out-017.3,25165746,1
out-017.4,38,0
out-017.4,25165746,1
out-017.5,38,0
out-017.5,25165746,1
out-017.6,38,0
out-017.6,25165746,1
out-017.7,38,0
out-017.7,25165746,1
out-017.8,38,0
out-017.8,25165746,1
out-017.9,38,0
out-017.9,25165746,1
out-018.0,38,0
out-018.0,25165746,1
out-018.1,38,0
out-018.1,25165746,1
out-018.2,38,0
out-018.2,25165746,1
out-018.3,38,0
out-018.3,25165746,1
out-018.4,37,0
out-018.4,25165747,1
out-018.5,37,0
out-018.5,25165747,1
out-018.6,37,0
out-018.6,25165747,1
out-018.7,37,0
out-018.7,25165747,1
out-018.8,37,0
out-018.8,25165747,1
out-018.9,37,0
out-018.9,25165747,1
out-019.0,37,0
out-019.0,25165747,1
out-019.1,37,0
out-019.1,25165747,1
out-019.2,37,0
out-019.2,25165747,1
out-019.3,37,0
out-019.3,25165747,1
out-019.4,37,0
out-019.4,25165747,1
out-019.5,37,0
out-019.5,25165747,1
out-019.6,37,0
out-019.6,25165747,1
out-019.7,37,0
out-019.7,25165747,1
out-019.8,37,0
out-019.8,25165747,1
out-019.9,37,0
out-019.9,25165747,1
out-020.0,37,0
out-020.0,25165747,1
out-020.1,37,0
out-020.1,25165747,1
out-020.2,37,0
out-020.2,25165747,1
out-020.3,37,0
out-020.3,25165747,1
out-020.4,37,0
out-020.4,25165747,1
out-020.5,37,0
out-020.5,25165747,1
out-020.6,37,0
out-020.6,25165747,1
out-020.7,37,0
out-020.7,25165747,1
out-020.8,37,0
out-020.8,25165747,1
out-020.9,37,0
out-020.9,25165747,1
out-021.0,37,0
out-021.0,25165747,1
out-021.1,37,0
out-021.1,25165747,1
out-021.2,37,0
out-021.2,25165747,1
out-021.3,37,0
out-021.3,25165747,1
out-021.4,37,0
out-021.4,25165747,1
out-021.5,37,0
out-021.5,25165747,1
out-021.6,37,0
out-021.6,25165747,1
out-021.7,37,0
out-021.7,25165747,1
out-021.8,37,0
out-021.8,25165747,1
out-021.9,37,0
out-021.9,25165747,1
out-022.0,37,0
out-022.0,25165747,1
out-022.1,37,0
out-022.1,25165747,1
out-022.2,37,0
out-022.2,25165747,1
out-022.3,37,0
out-022.3,25165747,1
out-022.4,37,0
out-022.4,25165747,1
out-022.5,37,0
out-022.5,25165747,1
out-022.6,37,0
out-022.6,25165747,1
out-022.7,39,0
out-022.7,25165745,1
out-022.8,39,0
out-022.8,25165745,1
out-022.9,39,0
out-022.9,25165745,1
out-023.0,39,0
out-023.0,25165745,1
out-023.1,39,0
out-023.1,25165745,1
out-023.2,37,0
out-023.2,25165747,1
out-023.4,37,0
out-023.4,25165747,1
out-023.3,37,0
out-023.3,25165747,1
out-023.5,37,0
out-023.5,25165747,1
out-023.6,37,0
out-023.6,25165747,1
out-023.7,37,0
out-023.7,25165747,1
out-023.8,37,0
out-023.8,25165747,1
out-023.9,39,0
out-023.9,25165745,1
out-024.0,39,0
out-024.0,25165745,1
out-024.1,39,0
