filename,count,bit
out-0.0000005-0.2--000.1,27,0
out-0.0000005-0.2--000.1,25165757,1
out-0.0000005-0.2--000.2,27,0
out-0.0000005-0.2--000.2,25165757,1
out-0.0000005-0.2--000.3,27,0
out-0.0000005-0.2--000.3,25165757,1
out-0.0000005-0.2--000.4,29,0
out-0.0000005-0.2--000.4,25165755,1
out-0.0000005-0.2--000.5,30,0
out-0.0000005-0.2--000.5,25165754,1
out-0.0000005-0.2--000.6,30,0
out-0.0000005-0.2--000.6,25165754,1
out-0.0000005-0.2--000.7,29,0
out-0.0000005-0.2--000.7,25165755,1
out-0.0000005-0.2--000.8,30,0
out-0.0000005-0.2--000.8,25165754,1
out-0.0000005-0.2--000.9,30,0
out-0.0000005-0.2--000.9,25165754,1
out-0.0000005-0.2--001.0,30,0
out-0.0000005-0.2--001.0,25165754,1
out-0.0000005-0.2--001.1,30,0
out-0.0000005-0.2--001.1,25165754,1
out-0.0000005-0.2--001.2,30,0
out-0.0000005-0.2--001.2,25165754,1
out-0.0000005-0.2--001.3,29,0
out-0.0000005-0.2--001.3,25165755,1
out-0.0000005-0.2--001.4,30,0
out-0.0000005-0.2--001.4,25165754,1
out-0.0000005-0.2--001.5,30,0
out-0.0000005-0.2--001.5,25165754,1
out-0.0000005-0.2--001.6,30,0
out-0.0000005-0.2--001.6,25165754,1
out-0.0000005-0.2--001.7,31,0
out-0.0000005-0.2--001.7,25165753,1
out-0.0000005-0.2--001.8,31,0
out-0.0000005-0.2--001.8,25165753,1
out-0.0000005-0.2--001.9,31,0
out-0.0000005-0.2--001.9,25165753,1
out-0.0000005-0.2--002.0,31,0
out-0.0000005-0.2--002.0,25165753,1
out-0.0000005-0.2--002.1,31,0
out-0.0000005-0.2--002.1,25165753,1
out-0.0000005-0.2--002.2,32,0
out-0.0000005-0.2--002.2,25165752,1
out-0.0000005-0.2--002.3,32,0
out-0.0000005-0.2--002.3,25165752,1
out-0.0000005-0.2--002.4,32,0
out-0.0000005-0.2--002.4,25165752,1
out-0.0000005-0.2--002.5,32,0
out-0.0000005-0.2--002.5,25165752,1
out-0.0000005-0.2--002.6,32,0
out-0.0000005-0.2--002.6,25165752,1
out-0.0000005-0.2--002.7,33,0
out-0.0000005-0.2--002.7,25165751,1
out-0.0000005-0.2--002.8,33,0
out-0.0000005-0.2--002.8,25165751,1
out-0.0000005-0.2--002.9,33,0
out-0.0000005-0.2--002.9,25165751,1
out-0.0000005-0.2--003.0,28,0
out-0.0000005-0.2--003.0,25165756,1
out-0.0000005-0.2--003.1,28,0
out-0.0000005-0.2--003.1,25165756,1
out-0.0000005-0.2--003.2,28,0
out-0.0000005-0.2--003.2,25165756,1
out-0.0000005-0.2--003.3,28,0
out-0.0000005-0.2--003.3,25165756,1
out-0.0000005-0.2--003.4,28,0
out-0.0000005-0.2--003.4,25165756,1
out-0.0000005-0.2--003.5,28,0
out-0.0000005-0.2--003.5,25165756,1
out-0.0000005-0.2--003.6,28,0
out-0.0000005-0.2--003.6,25165756,1
out-0.0000005-0.2--003.7,29,0
